signal,category,ticker,spread_bps,gross_sharpe,turnover,net_sharpe,decision,liquidity_tier
friday_effect,garbage,QQQ,2.0,0.05,2.0,0.04455352958167682,REJECT,ultra_liquid
friday_effect,garbage,IWM,5.0,0.05,2.0,0.03642323441888659,REJECT,liquid
friday_effect,garbage,TLT,3.0,0.05,2.0,0.041761486082400025,REJECT,liquid
friday_effect,garbage,GLD,4.0,0.05,2.0,0.038953860014113134,REJECT,liquid
friday_effect,garbage,EEM,8.0,0.05,2.0,0.02777223947566675,REJECT,medium
friday_effect,garbage,VWO,10.0,0.05,2.0,0.021947692687278232,REJECT,medium
friday_effect,garbage,EFA,6.0,0.05,2.0,0.033434314575050764,REJECT,medium
friday_effect,garbage,EWZ,20.0,0.05,2.0,-0.006666666666666668,REJECT,illiquid
friday_effect,garbage,RSX,35.0,0.05,2.0,-0.04899018758282571,REJECT,illiquid
friday_effect,garbage,XME,15.0,0.05,2.0,0.007018576030000286,REJECT,illiquid
twitter_sentiment,garbage,SPY,1.5,0.1,5.0,0.08981366100187502,REJECT,ultra_liquid
twitter_sentiment,garbage,QQQ,2.0,0.1,5.0,0.08638382395419206,REJECT,ultra_liquid
twitter_sentiment,garbage,IWM,5.0,0.1,5.0,0.06605808604721648,REJECT,liquid
twitter_sentiment,garbage,TLT,3.0,0.1,5.0,0.07940371520600006,REJECT,liquid
twitter_sentiment,garbage,GLD,4.0,0.1,5.0,0.07238465003528283,REJECT,liquid
twitter_sentiment,garbage,EEM,8.0,0.1,5.0,0.04443059868916687,REJECT,medium
twitter_sentiment,garbage,VWO,10.0,0.1,5.0,0.029869231718195582,REJECT,medium
twitter_sentiment,garbage,EFA,6.0,0.1,5.0,0.058585786437626915,REJECT,medium
twitter_sentiment,garbage,EWZ,20.0,0.1,5.0,-0.041666666666666685,REJECT,illiquid
twitter_sentiment,garbage,RSX,35.0,0.1,5.0,-0.14747546895706432,REJECT,illiquid
twitter_sentiment,garbage,XME,15.0,0.1,5.0,-0.007453559924999298,REJECT,illiquid
round_number,garbage,SPY,1.5,0.0,3.0,-0.006111803398874989,REJECT,ultra_liquid
round_number,garbage,QQQ,2.0,0.0,3.0,-0.008169705627484772,REJECT,ultra_liquid
round_number,garbage,IWM,5.0,0.0,3.0,-0.02036514837167011,REJECT,liquid
round_number,garbage,TLT,3.0,0.0,3.0,-0.012357770876399967,REJECT,liquid
round_number,garbage,GLD,4.0,0.0,3.0,-0.01656920997883031,REJECT,liquid
round_number,garbage,EEM,8.0,0.0,3.0,-0.03334164078649988,REJECT,medium
round_number,garbage,VWO,10.0,0.0,3.0,-0.04207846096908266,REJECT,medium
round_number,garbage,EFA,6.0,0.0,3.0,-0.02484852813742386,REJECT,medium
round_number,garbage,EWZ,20.0,0.0,3.0,-0.085,REJECT,illiquid
round_number,garbage,RSX,35.0,0.0,3.0,-0.1484852813742386,REJECT,illiquid
round_number,garbage,XME,15.0,0.0,3.0,-0.0644721359549996,REJECT,illiquid
contrarian_extreme,garbage,SPY,1.5,-0.15,4.0,-0.15814907119849997,REJECT,ultra_liquid
contrarian_extreme,garbage,QQQ,2.0,-0.15,4.0,-0.16089294083664635,REJECT,ultra_liquid
contrarian_extreme,garbage,IWM,5.0,-0.15,4.0,-0.17715353116222682,REJECT,liquid
contrarian_extreme,garbage,TLT,3.0,-0.15,4.0,-0.16647702783519996,REJECT,liquid
contrarian_extreme,garbage,GLD,4.0,-0.15,4.0,-0.17209227997177373,REJECT,liquid
contrarian_extreme,garbage,EEM,8.0,-0.15,4.0,-0.1944555210486665,REJECT,medium
contrarian_extreme,garbage,VWO,10.0,-0.15,4.0,-0.20610461462544355,REJECT,medium
contrarian_extreme,garbage,EFA,6.0,-0.15,4.0,-0.18313137084989847,REJECT,medium
contrarian_extreme,garbage,EWZ,20.0,-0.15,4.0,-0.2633333333333333,REJECT,illiquid
contrarian_extreme,garbage,RSX,35.0,-0.15,4.0,-0.3479803751656514,REJECT,illiquid
contrarian_extreme,garbage,XME,15.0,-0.15,4.0,-0.23596284793999944,REJECT,illiquid
momentum_12_1,mediocre,SPY,1.5,0.4,4.2,0.391443475241575,REJECT,ultra_liquid
momentum_12_1,mediocre,QQQ,2.0,0.4,4.2,0.3885624121215213,REJECT,ultra_liquid
momentum_12_1,mediocre,IWM,5.0,0.4,4.2,0.37148879227966186,REJECT,liquid
momentum_12_1,mediocre,TLT,3.0,0.4,4.2,0.3826991207730401,REJECT,liquid
momentum_12_1,mediocre,GLD,4.0,0.4,4.2,0.37680310602963757,REJECT,liquid
momentum_12_1,mediocre,EEM,8.0,0.4,4.2,0.3533217028989002,REJECT,medium
momentum_12_1,mediocre,VWO,10.0,0.4,4.2,0.3410901546432843,REJECT,medium
momentum_12_1,mediocre,EFA,6.0,0.4,4.2,0.36521206060760664,REJECT,medium
momentum_12_1,mediocre,EWZ,20.0,0.4,4.2,0.281,REJECT,illiquid
momentum_12_1,mediocre,RSX,35.0,0.4,4.2,0.19212060607606601,REJECT,illiquid
momentum_12_1,mediocre,XME,15.0,0.4,4.2,0.3097390096630006,REJECT,illiquid
momentum_6_1,mediocre,SPY,1.5,0.35,5.0,0.339813661001875,REJECT,ultra_liquid
momentum_6_1,mediocre,QQQ,2.0,0.35,5.0,0.33638382395419203,REJECT,ultra_liquid
momentum_6_1,mediocre,IWM,5.0,0.35,5.0,0.31605808604721647,REJECT,liquid
momentum_6_1,mediocre,TLT,3.0,0.35,5.0,0.32940371520600004,REJECT,liquid
momentum_6_1,mediocre,GLD,4.0,0.35,5.0,0.32238465003528277,REJECT,liquid
momentum_6_1,mediocre,EEM,8.0,0.35,5.0,0.2944305986891668,REJECT,medium
momentum_6_1,mediocre,VWO,10.0,0.35,5.0,0.27986923171819555,REJECT,medium
momentum_6_1,mediocre,EFA,6.0,0.35,5.0,0.3085857864376269,REJECT,medium
momentum_6_1,mediocre,EWZ,20.0,0.35,5.0,0.2083333333333333,REJECT,illiquid
momentum_6_1,mediocre,RSX,35.0,0.35,5.0,0.10252453104293566,REJECT,illiquid
momentum_6_1,mediocre,XME,15.0,0.35,5.0,0.24254644007500067,REJECT,illiquid
momentum_3_1,mediocre,SPY,1.5,0.3,6.0,0.28777639320225,REJECT,ultra_liquid
momentum_3_1,mediocre,QQQ,2.0,0.3,6.0,0.2836605887450304,REJECT,ultra_liquid
momentum_3_1,mediocre,IWM,5.0,0.3,6.0,0.25926970325665977,REJECT,liquid
momentum_3_1,mediocre,TLT,3.0,0.3,6.0,0.27528445824720005,REJECT,liquid
momentum_3_1,mediocre,GLD,4.0,0.3,6.0,0.2668615800423394,REJECT,liquid
momentum_3_1,mediocre,EEM,8.0,0.3,6.0,0.23331671842700025,REJECT,medium
momentum_3_1,mediocre,VWO,10.0,0.3,6.0,0.21584307806183467,REJECT,medium
momentum_3_1,mediocre,EFA,6.0,0.3,6.0,0.25030294372515227,REJECT,medium
momentum_3_1,mediocre,EWZ,20.0,0.3,6.0,0.12999999999999998,REJECT,illiquid
momentum_3_1,mediocre,RSX,35.0,0.3,6.0,0.0030294372515227708,REJECT,illiquid
momentum_3_1,mediocre,XME,15.0,0.3,6.0,0.1710557280900008,REJECT,illiquid
ma_crossover_20_50,mediocre,SPY,1.5,0.3,3.5,0.2928695627013125,REJECT,ultra_liquid
ma_crossover_20_50,mediocre,QQQ,2.0,0.3,3.5,0.2904686767679344,REJECT,ultra_liquid
ma_crossover_20_50,mediocre,IWM,5.0,0.3,3.5,0.27624066023305155,REJECT,liquid
ma_crossover_20_50,mediocre,TLT,3.0,0.3,3.5,0.28558260064420005,REJECT,liquid
ma_crossover_20_50,mediocre,GLD,4.0,0.3,3.5,0.280669255024698,REJECT,liquid
ma_crossover_20_50,mediocre,EEM,8.0,0.3,3.5,0.2611014190824168,REJECT,medium
ma_crossover_20_50,mediocre,VWO,10.0,0.3,3.5,0.2509084622027369,REJECT,medium
ma_crossover_20_50,mediocre,EFA,6.0,0.3,3.5,0.2710100505063388,REJECT,medium
ma_crossover_20_50,mediocre,EWZ,20.0,0.3,3.5,0.2008333333333333,REJECT,illiquid
ma_crossover_20_50,mediocre,RSX,35.0,0.3,3.5,0.12676717173005497,REJECT,illiquid
ma_crossover_20_50,mediocre,XME,15.0,0.3,3.5,0.22478250805250047,REJECT,illiquid
ma_crossover_10_30,mediocre,SPY,1.5,0.25,4.5,0.2408322949016875,REJECT,ultra_liquid
ma_crossover_10_30,mediocre,QQQ,2.0,0.25,4.5,0.23774544155877284,REJECT,ultra_liquid
ma_crossover_10_30,mediocre,IWM,5.0,0.25,4.5,0.21945227744249482,REJECT,liquid
ma_crossover_10_30,mediocre,TLT,3.0,0.25,4.5,0.23146334368540006,REJECT,liquid
ma_crossover_10_30,mediocre,GLD,4.0,0.25,4.5,0.22514618503175454,REJECT,liquid
ma_crossover_10_30,mediocre,EEM,8.0,0.25,4.5,0.1999875388202502,REJECT,medium
ma_crossover_10_30,mediocre,VWO,10.0,0.25,4.5,0.186882308546376,REJECT,medium
ma_crossover_10_30,mediocre,EFA,6.0,0.25,4.5,0.21272720779386423,REJECT,medium
ma_crossover_10_30,mediocre,EWZ,20.0,0.25,4.5,0.12249999999999997,REJECT,illiquid
ma_crossover_10_30,mediocre,RSX,35.0,0.25,4.5,0.027272077938642142,REJECT,illiquid
ma_crossover_10_30,mediocre,XME,15.0,0.25,4.5,0.15329179606750065,REJECT,illiquid
rsi_reversal,mediocre,SPY,1.5,0.35,4.0,0.3418509288015,REJECT,ultra_liquid
rsi_reversal,mediocre,QQQ,2.0,0.35,4.0,0.3391070591633536,REJECT,ultra_liquid
rsi_reversal,mediocre,IWM,5.0,0.35,4.0,0.3228464688377732,REJECT,liquid
rsi_reversal,mediocre,TLT,3.0,0.35,4.0,0.33352297216480004,REJECT,liquid
rsi_reversal,mediocre,GLD,4.0,0.35,4.0,0.3279077200282262,REJECT,liquid
rsi_reversal,mediocre,EEM,8.0,0.35,4.0,0.30554447895133346,REJECT,medium
rsi_reversal,mediocre,VWO,10.0,0.35,4.0,0.29389538537455645,REJECT,medium
rsi_reversal,mediocre,EFA,6.0,0.35,4.0,0.3168686291501015,REJECT,medium
rsi_reversal,mediocre,EWZ,20.0,0.35,4.0,0.23666666666666664,REJECT,illiquid
rsi_reversal,mediocre,RSX,35.0,0.35,4.0,0.15201962483434855,REJECT,illiquid
rsi_reversal,mediocre,XME,15.0,0.35,4.0,0.26403715206000056,REJECT,illiquid
bollinger_breakout,mediocre,SPY,1.5,0.3,3.8,0.292258382361425,REJECT,ultra_liquid
bollinger_breakout,mediocre,QQQ,2.0,0.3,3.8,0.28965170620518593,REJECT,ultra_liquid
bollinger_breakout,mediocre,IWM,5.0,0.3,3.8,0.2742041453958845,REJECT,liquid
bollinger_breakout,mediocre,TLT,3.0,0.3,3.8,0.28434682355656005,REJECT,liquid
bollinger_breakout,mediocre,GLD,4.0,0.3,3.8,0.2790123340268149,REJECT,liquid
bollinger_breakout,mediocre,EEM,8.0,0.3,3.8,0.2577672550037668,REJECT,medium
bollinger_breakout,mediocre,VWO,10.0,0.3,3.8,0.24670061610582864,REJECT,medium
bollinger_breakout,mediocre,EFA,6.0,0.3,3.8,0.2685251976925964,REJECT,medium
bollinger_breakout,mediocre,EWZ,20.0,0.3,3.8,0.1923333333333333,REJECT,illiquid
bollinger_breakout,mediocre,RSX,35.0,0.3,3.8,0.11191864359263115,REJECT,illiquid
bollinger_breakout,mediocre,XME,15.0,0.3,3.8,0.2183352944570005,REJECT,illiquid
volume_spike,mediocre,SPY,1.5,0.25,5.5,0.23879502710206252,REJECT,ultra_liquid
volume_spike,mediocre,QQQ,2.0,0.25,5.5,0.23502220634961124,REJECT,ultra_liquid
volume_spike,mediocre,IWM,5.0,0.25,5.5,0.21266389465193813,REJECT,liquid
volume_spike,mediocre,TLT,3.0,0.25,5.5,0.22734408672660006,REJECT,liquid
volume_spike,mediocre,GLD,4.0,0.25,5.5,0.2196231150388111,REJECT,liquid
volume_spike,mediocre,EEM,8.0,0.25,5.5,0.18887365855808358,REJECT,medium
volume_spike,mediocre,VWO,10.0,0.25,5.5,0.17285615489001516,REJECT,medium
volume_spike,mediocre,EFA,6.0,0.25,5.5,0.2044443650813896,REJECT,medium
volume_spike,mediocre,EWZ,20.0,0.25,5.5,0.09416666666666665,REJECT,illiquid
volume_spike,mediocre,RSX,35.0,0.25,5.5,-0.022223015852770756,REJECT,illiquid
volume_spike,mediocre,XME,15.0,0.25,5.5,0.13180108408250074,REJECT,illiquid
gap_fade,mediocre,SPY,1.5,0.4,6.0,0.38777639320225005,REJECT,ultra_liquid
gap_fade,mediocre,QQQ,2.0,0.4,6.0,0.3836605887450305,REJECT,ultra_liquid
gap_fade,mediocre,IWM,5.0,0.4,6.0,0.3592697032566598,REJECT,liquid
gap_fade,mediocre,TLT,3.0,0.4,6.0,0.3752844582472001,REJECT,liquid
gap_fade,mediocre,GLD,4.0,0.4,6.0,0.3668615800423394,REJECT,liquid
gap_fade,mediocre,EEM,8.0,0.4,6.0,0.3333167184270003,REJECT,medium
gap_fade,mediocre,VWO,10.0,0.4,6.0,0.3158430780618347,REJECT,medium
gap_fade,mediocre,EFA,6.0,0.4,6.0,0.3503029437251523,REJECT,medium
gap_fade,mediocre,EWZ,20.0,0.4,6.0,0.23,REJECT,illiquid
gap_fade,mediocre,RSX,35.0,0.4,6.0,0.1030294372515228,REJECT,illiquid
gap_fade,mediocre,XME,15.0,0.4,6.0,0.27105572809000084,REJECT,illiquid
mean_reversion_5d,mediocre,SPY,1.5,0.45,4.5,0.4408322949016875,REJECT,ultra_liquid
mean_reversion_5d,mediocre,QQQ,2.0,0.45,4.5,0.4377454415587729,REJECT,ultra_liquid
mean_reversion_5d,mediocre,IWM,5.0,0.45,4.5,0.41945227744249486,REJECT,liquid
mean_reversion_5d,mediocre,TLT,3.0,0.45,4.5,0.43146334368540007,REJECT,liquid
mean_reversion_5d,mediocre,GLD,4.0,0.45,4.5,0.42514618503175455,REJECT,liquid
mean_reversion_5d,mediocre,EEM,8.0,0.45,4.5,0.3999875388202502,REJECT,medium
mean_reversion_5d,mediocre,VWO,10.0,0.45,4.5,0.386882308546376,REJECT,medium
mean_reversion_5d,mediocre,EFA,6.0,0.45,4.5,0.41272720779386424,REJECT,medium
mean_reversion_5d,mediocre,EWZ,20.0,0.45,4.5,0.3225,REJECT,illiquid
mean_reversion_5d,mediocre,RSX,35.0,0.45,4.5,0.22727207793864215,REJECT,illiquid
mean_reversion_5d,mediocre,XME,15.0,0.45,4.5,0.35329179606750066,REJECT,illiquid
mean_reversion_10d,mediocre,SPY,1.5,0.4,3.5,0.3928695627013125,REJECT,ultra_liquid
mean_reversion_10d,mediocre,QQQ,2.0,0.4,3.5,0.39046867676793445,REJECT,ultra_liquid
mean_reversion_10d,mediocre,IWM,5.0,0.4,3.5,0.3762406602330516,REJECT,liquid
mean_reversion_10d,mediocre,TLT,3.0,0.4,3.5,0.3855826006442001,REJECT,liquid
mean_reversion_10d,mediocre,GLD,4.0,0.4,3.5,0.380669255024698,REJECT,liquid
mean_reversion_10d,mediocre,EEM,8.0,0.4,3.5,0.36110141908241683,REJECT,medium
mean_reversion_10d,mediocre,VWO,10.0,0.4,3.5,0.3509084622027369,REJECT,medium
mean_reversion_10d,mediocre,EFA,6.0,0.4,3.5,0.37101005050633884,REJECT,medium
mean_reversion_10d,mediocre,EWZ,20.0,0.4,3.5,0.30083333333333334,REJECT,illiquid
mean_reversion_10d,mediocre,RSX,35.0,0.4,3.5,0.226767171730055,REJECT,illiquid
mean_reversion_10d,mediocre,XME,15.0,0.4,3.5,0.32478250805250053,REJECT,illiquid
breakout_20d,mediocre,SPY,1.5,0.35,3.0,0.34388819660112496,REJECT,ultra_liquid
breakout_20d,mediocre,QQQ,2.0,0.35,3.0,0.3418302943725152,REJECT,ultra_liquid
breakout_20d,mediocre,IWM,5.0,0.35,3.0,0.32963485162832984,REJECT,liquid
breakout_20d,mediocre,TLT,3.0,0.35,3.0,0.33764222912360004,REJECT,liquid
breakout_20d,mediocre,GLD,4.0,0.35,3.0,0.33343079002116965,REJECT,liquid
breakout_20d,mediocre,EEM,8.0,0.35,3.0,0.3166583592135001,REJECT,medium
breakout_20d,mediocre,VWO,10.0,0.35,3.0,0.30792153903091735,REJECT,medium
breakout_20d,mediocre,EFA,6.0,0.35,3.0,0.3251514718625761,REJECT,medium
breakout_20d,mediocre,EWZ,20.0,0.35,3.0,0.26499999999999996,REJECT,illiquid
breakout_20d,mediocre,RSX,35.0,0.35,3.0,0.20151471862576137,REJECT,illiquid
breakout_20d,mediocre,XME,15.0,0.35,3.0,0.2855278640450004,REJECT,illiquid
earnings_drift,mediocre,SPY,1.5,0.5,4.0,0.4918509288015,REJECT,ultra_liquid
earnings_drift,mediocre,QQQ,2.0,0.5,4.0,0.4891070591633536,REJECT,ultra_liquid
earnings_drift,mediocre,IWM,5.0,0.5,4.0,0.4728464688377732,REJECT,liquid
earnings_drift,mediocre,TLT,3.0,0.5,4.0,0.48352297216480006,REJECT,liquid
earnings_drift,mediocre,GLD,4.0,0.5,4.0,0.47790772002822623,REJECT,liquid
earnings_drift,mediocre,EEM,8.0,0.5,4.0,0.4555444789513335,REJECT,medium
earnings_drift,mediocre,VWO,10.0,0.5,4.0,0.4438953853745565,REJECT,medium
earnings_drift,mediocre,EFA,6.0,0.5,4.0,0.4668686291501015,REJECT,medium
earnings_drift,mediocre,EWZ,20.0,0.5,4.0,0.38666666666666666,REJECT,illiquid
earnings_drift,mediocre,RSX,35.0,0.5,4.0,0.3020196248343486,REJECT,illiquid
earnings_drift,mediocre,XME,15.0,0.5,4.0,0.4140371520600006,REJECT,illiquid
sector_rotation,mediocre,SPY,1.5,0.3,2.5,0.2949068305009375,REJECT,ultra_liquid
sector_rotation,mediocre,QQQ,2.0,0.3,2.5,0.293191911977096,REJECT,ultra_liquid
sector_rotation,mediocre,IWM,5.0,0.3,2.5,0.2830290430236082,REJECT,liquid
sector_rotation,mediocre,TLT,3.0,0.3,2.5,0.28970185760300005,REJECT,liquid
sector_rotation,mediocre,GLD,4.0,0.3,2.5,0.2861923250176414,REJECT,liquid
sector_rotation,mediocre,EEM,8.0,0.3,2.5,0.27221529934458344,REJECT,medium
sector_rotation,mediocre,VWO,10.0,0.3,2.5,0.2649346158590978,REJECT,medium
sector_rotation,mediocre,EFA,6.0,0.3,2.5,0.27929289321881345,REJECT,medium
sector_rotation,mediocre,EWZ,20.0,0.3,2.5,0.22916666666666663,REJECT,illiquid
sector_rotation,mediocre,RSX,35.0,0.3,2.5,0.17626226552146784,REJECT,illiquid
sector_rotation,mediocre,XME,15.0,0.3,2.5,0.24627322003750035,REJECT,illiquid
pairs_trading,mediocre,SPY,1.5,0.4,5.0,0.38981366100187503,REJECT,ultra_liquid
pairs_trading,mediocre,QQQ,2.0,0.4,5.0,0.3863838239541921,REJECT,ultra_liquid
pairs_trading,mediocre,IWM,5.0,0.4,5.0,0.3660580860472165,REJECT,liquid
pairs_trading,mediocre,TLT,3.0,0.4,5.0,0.3794037152060001,REJECT,liquid
pairs_trading,mediocre,GLD,4.0,0.4,5.0,0.3723846500352828,REJECT,liquid
pairs_trading,mediocre,EEM,8.0,0.4,5.0,0.34443059868916687,REJECT,medium
pairs_trading,mediocre,VWO,10.0,0.4,5.0,0.3298692317181956,REJECT,medium
pairs_trading,mediocre,EFA,6.0,0.4,5.0,0.35858578643762695,REJECT,medium
pairs_trading,mediocre,EWZ,20.0,0.4,5.0,0.2583333333333333,REJECT,illiquid
pairs_trading,mediocre,RSX,35.0,0.4,5.0,0.1525245310429357,REJECT,illiquid
pairs_trading,mediocre,XME,15.0,0.4,5.0,0.29254644007500075,REJECT,illiquid
beta_timing,mediocre,SPY,1.5,0.25,3.0,0.243888196601125,REJECT,ultra_liquid
beta_timing,mediocre,QQQ,2.0,0.25,3.0,0.24183029437251524,REJECT,ultra_liquid
beta_timing,mediocre,IWM,5.0,0.25,3.0,0.2296348516283299,REJECT,liquid
beta_timing,mediocre,TLT,3.0,0.25,3.0,0.23764222912360003,REJECT,liquid
beta_timing,mediocre,GLD,4.0,0.25,3.0,0.23343079002116968,REJECT,liquid
beta_timing,mediocre,EEM,8.0,0.25,3.0,0.21665835921350013,REJECT,medium
beta_timing,mediocre,VWO,10.0,0.25,3.0,0.20792153903091734,REJECT,medium
beta_timing,mediocre,EFA,6.0,0.25,3.0,0.22515147186257614,REJECT,medium
beta_timing,mediocre,EWZ,20.0,0.25,3.0,0.16499999999999998,REJECT,illiquid
beta_timing,mediocre,RSX,35.0,0.25,3.0,0.10151471862576139,REJECT,illiquid
beta_timing,mediocre,XME,15.0,0.25,3.0,0.1855278640450004,REJECT,illiquid
vix_timing,mediocre,SPY,1.5,0.3,2.8,0.29429565016104997,REJECT,ultra_liquid
vix_timing,mediocre,QQQ,2.0,0.3,2.8,0.29237494141434756,REJECT,ultra_liquid
vix_timing,mediocre,IWM,5.0,0.3,2.8,0.2809925281864412,REJECT,liquid
vix_timing,mediocre,TLT,3.0,0.3,2.8,0.28846608051536005,REJECT,liquid
vix_timing,mediocre,GLD,4.0,0.3,2.8,0.28453540401975835,REJECT,liquid
vix_timing,mediocre,EEM,8.0,0.3,2.8,0.26888113526593344,REJECT,medium
vix_timing,mediocre,VWO,10.0,0.3,2.8,0.2607267697621895,REJECT,medium
