signal,category,gross_sharpe,turnover,cost_bps,net_sharpe,decision,scenario
vix_timing,mediocre,0.3,2.8,10.0,0.26266666666666666,REJECT,conservative
yield_curve,mediocre,0.35,2.0,10.0,0.3233333333333333,REJECT,conservative
credit_spread,mediocre,0.3,1.8,10.0,0.27599999999999997,REJECT,conservative
momentum_factor,mediocre,0.45,3.5,10.0,0.4033333333333333,REJECT,conservative
quality_quarterly,borderline,0.55,1.5,10.0,0.53,PASS,conservative
value_pe_quarterly,borderline,0.5,1.2,10.0,0.484,REJECT,conservative
value_pb_quarterly,borderline,0.45,1.3,10.0,0.4326666666666667,REJECT,conservative
momentum_12_3,borderline,0.5,2.0,10.0,0.47333333333333333,REJECT,conservative
momentum_12_6,borderline,0.55,1.5,10.0,0.53,PASS,conservative
low_vol_quarterly,borderline,0.5,1.0,10.0,0.4866666666666667,REJECT,conservative
dividend_yield,borderline,0.45,0.8,10.0,0.43933333333333335,REJECT,conservative
profitability,borderline,0.55,1.2,10.0,0.534,PASS,conservative
investment,borderline,0.5,1.0,10.0,0.4866666666666667,REJECT,conservative
size_small,borderline,0.4,0.9,10.0,0.388,REJECT,conservative
quality_roe,borderline,0.55,1.4,10.0,0.5313333333333333,PASS,conservative
quality_fcf,borderline,0.6,1.3,10.0,0.5826666666666667,PASS,conservative
combo_value_mom,borderline,0.55,1.8,10.0,0.526,PASS,conservative
combo_quality_value,borderline,0.6,1.2,10.0,0.584,PASS,conservative
carry_fx,borderline,0.5,1.5,10.0,0.48,REJECT,conservative
value_annual,robust,0.7,0.4,10.0,0.6946666666666667,PASS,conservative
quality_annual,robust,0.75,0.3,10.0,0.746,PASS,conservative
buyhold_value,robust,0.65,0.2,10.0,0.6473333333333333,PASS,conservative
dividend_annual,robust,0.6,0.25,10.0,0.5966666666666667,PASS,conservative
multifactor_annual,robust,0.8,0.35,10.0,0.7953333333333333,PASS,conservative
random_noise_1,garbage,0.0,2.0,50.0,-0.13333333333333333,REJECT,sabotage
random_noise_2,garbage,0.0,3.0,50.0,-0.2,REJECT,sabotage
reverse_momentum,garbage,-0.3,2.5,50.0,-0.4666666666666667,REJECT,sabotage
buy_high_vol,garbage,-0.2,3.0,50.0,-0.4,REJECT,sabotage
chase_news,garbage,-0.1,4.0,50.0,-0.3666666666666667,REJECT,sabotage
moon_phase,garbage,0.0,1.5,50.0,-0.1,REJECT,sabotage
friday_effect,garbage,0.05,2.0,50.0,-0.08333333333333333,REJECT,sabotage
twitter_sentiment,garbage,0.1,5.0,50.0,-0.23333333333333336,REJECT,sabotage
round_number,garbage,0.0,3.0,50.0,-0.2,REJECT,sabotage
contrarian_extreme,garbage,-0.15,4.0,50.0,-0.41666666666666663,REJECT,sabotage
momentum_12_1,mediocre,0.4,4.2,50.0,0.12,REJECT,sabotage
momentum_6_1,mediocre,0.35,5.0,50.0,0.016666666666666607,REJECT,sabotage
momentum_3_1,mediocre,0.3,6.0,50.0,-0.10000000000000003,REJECT,sabotage
ma_crossover_20_50,mediocre,0.3,3.5,50.0,0.06666666666666662,REJECT,sabotage
ma_crossover_10_30,mediocre,0.25,4.5,50.0,-0.04999999999999999,REJECT,sabotage
rsi_reversal,mediocre,0.35,4.0,50.0,0.08333333333333331,REJECT,sabotage
bollinger_breakout,mediocre,0.3,3.8,50.0,0.046666666666666634,REJECT,sabotage
volume_spike,mediocre,0.25,5.5,50.0,-0.1166666666666667,REJECT,sabotage
gap_fade,mediocre,0.4,6.0,50.0,0.0,REJECT,sabotage
mean_reversion_5d,mediocre,0.45,4.5,50.0,0.15000000000000002,REJECT,sabotage
mean_reversion_10d,mediocre,0.4,3.5,50.0,0.16666666666666666,REJECT,sabotage
breakout_20d,mediocre,0.35,3.0,50.0,0.14999999999999997,REJECT,sabotage
earnings_drift,mediocre,0.5,4.0,50.0,0.23333333333333334,REJECT,sabotage
sector_rotation,mediocre,0.3,2.5,50.0,0.1333333333333333,REJECT,sabotage
pairs_trading,mediocre,0.4,5.0,50.0,0.06666666666666665,REJECT,sabotage
beta_timing,mediocre,0.25,3.0,50.0,0.04999999999999999,REJECT,sabotage
vix_timing,mediocre,0.3,2.8,50.0,0.11333333333333334,REJECT,sabotage
yield_curve,mediocre,0.35,2.0,50.0,0.21666666666666665,REJECT,sabotage
credit_spread,mediocre,0.3,1.8,50.0,0.17999999999999997,REJECT,sabotage
momentum_factor,mediocre,0.45,3.5,50.0,0.21666666666666665,REJECT,sabotage
quality_quarterly,borderline,0.55,1.5,50.0,0.45000000000000007,REJECT,sabotage
value_pe_quarterly,borderline,0.5,1.2,50.0,0.42,REJECT,sabotage
value_pb_quarterly,borderline,0.45,1.3,50.0,0.36333333333333334,REJECT,sabotage
momentum_12_3,borderline,0.5,2.0,50.0,0.3666666666666667,REJECT,sabotage
momentum_12_6,borderline,0.55,1.5,50.0,0.45000000000000007,REJECT,sabotage
low_vol_quarterly,borderline,0.5,1.0,50.0,0.43333333333333335,REJECT,sabotage
dividend_yield,borderline,0.45,0.8,50.0,0.39666666666666667,REJECT,sabotage
profitability,borderline,0.55,1.2,50.0,0.47000000000000003,REJECT,sabotage
investment,borderline,0.5,1.0,50.0,0.43333333333333335,REJECT,sabotage
size_small,borderline,0.4,0.9,50.0,0.34,REJECT,sabotage
quality_roe,borderline,0.55,1.4,50.0,0.4566666666666667,REJECT,sabotage
quality_fcf,borderline,0.6,1.3,50.0,0.5133333333333333,PASS,sabotage
combo_value_mom,borderline,0.55,1.8,50.0,0.43000000000000005,REJECT,sabotage
combo_quality_value,borderline,0.6,1.2,50.0,0.52,PASS,sabotage
carry_fx,borderline,0.5,1.5,50.0,0.4,REJECT,sabotage
value_annual,robust,0.7,0.4,50.0,0.6733333333333333,PASS,sabotage
quality_annual,robust,0.75,0.3,50.0,0.73,PASS,sabotage
buyhold_value,robust,0.65,0.2,50.0,0.6366666666666667,PASS,sabotage
dividend_annual,robust,0.6,0.25,50.0,0.5833333333333333,PASS,sabotage
multifactor_annual,robust,0.8,0.35,50.0,0.7766666666666667,PASS,sabotage
